Title,Study,Decision-Making Time,Expertise Level of User,QA Score,Industry,Subcategory,AI Type - Intervention,Comparison,Was explainability/interpretability considered?,XAI Type,Decision Making - (Intervention),Deployed?,Data Type,Output Feature,Safety Outcome,Was regulation considered?,Regulatory Oversight Body (if any),Key Findings,Feature Study?,Full Text Review Notes,Analysis Notes,DOI,Published Year,Country
Patient perspectives on the use of artificial intelligence in prostate cancer diagnosis on MRI,Fransen 2025,Days or More,Expert,90.48,Medical,"Imaging, Roadmap/Perspective",Non-Specific,Human Evaluation,No,Non-Applicable,Autonomous,No,Clinical - Imaging,Presence of prostate cancer in an MRI exam.,Diagnostic,No,Non-Applicable,"“Support can range from models designed to have a second look to those striving for full autonomy [10, 11]. The understudied patient responses to these innovations and their acceptance of different levels of automation have become increasingly relevant. Therefore, weaving patient perspectives into the development and deployment narrative is essential. This ensures that the AI tools developed meet the technical standards and resonate with and garner trust from the patients they are designed to serve.”
”Results indicated a pronounced preference for AI to aid a radiologist’s judgment, with 79% of patients supporting a computer-generated second opinion after a radiologist’s initial diagnosis, and 91% endorsing an AI’s primary opinion subject to a radiologist’s oversight. Despite this, only a minority of 15% favored a standalone highly certain AI diagnosis without a radiologist’s input. Nevertheless, most patients (52%) were open to fully autonomous AI, provided it surpassed a radiologist in diagnostic accuracy.”
”For instance, a study conducted in the radiology department in 2021, which focused on women’s acceptance of AI in mammogram interpretation, found that 46% of participants preferred AI as a secondary reader [14]. However, our results indicate a higher acceptance rate, with 80% of participants favoring a computer program’s second opinion after a radiologist’s initial diagnosis in PCa detection. This discrepancy may suggest gender-based differences in perceptions of AI in healthcare [8].”",Yes,"Nataly Panczyk (2026-01-30 07:14:09)(Select): Shows patient perspectives on the use of AI in clinical decision support systems, specifically for assisting diagnosis of prostate cancer on MRI results
The study highlights that its audience was limited to white Western European men with higher levels of education, and that this should be considered a starting point— future work should explore if other populations feel similarly; Leo Tunkle (2025-12-21 06:13:15)(Screen): Technically this should be a no because it relates to diagnosis rather than application of a technology, however, I think you'll still find it pretty interesting.;","This is a qualitative study in which patients were surveyed about their opinion on using AI for reading their MRI results, specifically for prostate cancer diagnosis. They evaluated in their questionnaire a variety of decision-making credentials for the AI. So they have human in the loop, autonomous, and just human augmented decision making. This would be a useful feature study because they have considered differences in acceptance for AI in healthcare by gender. They compared the general acceptance of AI by women for mammogram readings to the general acceptance of AI-assisted readings in prostate cancer MRIs, which is by men.",10.1007/s00330-024-11012-y,2025,Netherlands
"From Lindbergh's cockpit to predictive, AI-driven health care: a roadmap for high-reliability medicine",Fuchs 2025,N/A,N/A,90.48,Medical,Roadmap/Perspective,Non-Specific,"Human Evaluation, Other Industries",No,Non-Applicable,Augmented Human Decision-Making,No,Non Applicable,Varies by application.,Sparing lives,Yes,FDA,"“While medicine has incorporated certain aviation-inspired practices―such as checklists, crew resource management, and simulation training―it lacks the comprehensive data-driven framework and continuous oversight that underpins aviation’s safety culture.”
”The co-pilot model is apt: AI manages mundane tasks, sifts through vast data, and flags concerns, freeing clinicians for nuanced judgment.”
”Regulatory agencies can formalize graded autonomy levels for medical AI, much like different categories of autopilot function, ensuring each stage undergoes thorough validation before broader adoption”
”As in aviation, robust governance is imperative.”",No,"Nataly Panczyk (2026-01-30 07:28:57)(Select): This is excellent but high level
It compares aviation’s transition towards data-driven safety to challenges in healthcare and outlines how healthcare might transition with its own modifications for things like patient privacy. safety=collective good— emphasizes standardization of data collection and medical notetaking ; Leo Tunkle (2026-01-08 02:05:00)(Screen): General health system paper. Not specific;","This study provides a roadmap and outlines four different phases for introducing high reliability medicine. The first phase talks about standardizing clinical data, which is supposed to mirror aviation's change from handwritten to digital. The second phase introduces AI-assisted decision support. The third phase considers predictive monitoring. And the fourth phase talks about fully autonomous systems.
Note an example of an aircraft accident, the Air France Flight 447 in 2009, which was caused by autopilot disengagement and failure of the pilot to take over. 
This paper clearly emphasizes preserving clinician engagement and avoiding an over-reliance on AI.
This paper also heavily emphasizes the need for “robust governance.”
note, safety is a collective good.",10.1016/j.esmorw.2025.100650,2025,Switzerland
An ethical trajectory planning algorithm for autonomous vehicles,Geisslinger 2023,Seconds or Less,General Public,95.24,Autonomous Vehicles,Ethics,LSTM,Other Deep Learning,Yes,Non-Specific,Autonomous,No,Driving Scenes/Scenarios,"“probability-based trajectory predictions as a bivariate normal distribution around a most-likely trajectory prediction. Thus, we calculate a collision probability for every planned ego-state given the object’s shapes.”",Sparing lives,Yes,UNECE,"“The associated advantages using risk ethics relate to the consideration of uncertainties through probabilities9,10, the given explainability11, and scalability to a wide variety of driving situations  and not only dilemma situations11.”
“Our implementation incorporates a combination of five ethical principles: minimization of the overall risk, priority for the worst-off, equal treatment of people, responsibility and maximum acceptable risk. To the best of our knowledge, this is the first ethical algorithm for trajectory planning of autonomous vehicles in line with the 20 recommendations from the European Union Commission expert group and with general applicability to various traffic situations. We showcase the ethical behaviour of our algorithm in selected scenarios and provide an empirical analysis of the ethical principles in 2,000 scenarios. The code used in this research is available as open-source software.”
”Regulatory guidelines and recommendations have already been prepared for the question of unavoidable accidents.”",No,Nataly Panczyk (2026-01-30 07:38:51)(Select): how to turn ethics into math and then put that math in your model— also make sure your model is aligned with regulations/governmental recommendations; Leo Tunkle (2026-01-07 10:35:03)(Screen): Super cool!! Directly in dialogue with European Commission recommendations;,"The analysis mentions explainability by using risk ethics, but it's more of an uncertainty propagation and quantification.
The regulatory body mentioned here is the United Nations Economic Commission for Europa.",10.1038/s42256-022-00607-z,2023,Germany
New case law and liability risks for manufacturers of medical AI,Gerke 2025,N/A,N/A,100,Medical,"Legal, Regulatory",Non Applicable,Non Applicable,No,Non-Applicable,Autonomous,No,Non Applicable,"Not applicable, this was a legal paper.",Incident Reporting,Yes,FDA,"“To reduce uncertainty, AI/ML manufacturers and other stakeholders could push for legislative or regulatory changes. Congress could enact a new provision or section in 21 U.S.C. § 360k(a) clarifying to what type of medical devices FDCA’s express preemption provision can apply”",No,"Nataly Panczyk (2026-01-30 08:02:08)(Select): definitely a lot of legal jargon in this one, but it shows how regulations are important because the law can basically completely absolve a manufacturer from harm caused by its device
this could encourage AI developers to inadequately consider safety systems because they’re guaranteed to not be liable;","This paper generally shows a variety of pathways to market for different medical devices and examines how AI can relate to liability of the manufacturers for installing their software in those devices. The de novo pathway is meant for devices that don't fit well into the 510k pathway because they lack a previous device to base their similarity off of, but they present lower risks than other devices. The DeNovo pathway offers the same liability protection as a PMA, but it is less rigorous and less costly.",10.1126/science.adu4932,2025,United States
Comparison of automated vehicle struck-from-behind crash rates with national rates using naturalistic data,Goodall 2021,Seconds or Less,General Public,90.48,Autonomous Vehicles,Accidents,AV Built-In,Human Evaluation,No,Non-Applicable,Autonomous,Yes,Incident Reports,AV Crash Rate,Sparing lives,Yes,"California DMV, NHTSA","“In September 2014, the California Department of Motor Vehicles began requiring companies wishing to test AVs on public roads to obtain permits (California Department of Motor Vehicles, 2018). All permit holders were required to report all crashes using form OL 316 within 10 days of the incident, regardless of severity or whether the vehicle was under human or computer control.In September 2014, the California Department of Motor Vehicles began requiring companies wishing to test AVs on public roads to obtain permits (California Department of Motor Vehicles, 2018). All permit holders were required to report all crashes using form OL 316 within 10 days of the incident, regardless of severity or whether the vehicle was under human or computer control.”
”When considering the entire California DMV dataset, AVs appear to be struck from behind at significantly higher rates (17.2 per MVMT, 14.2–20.7, 95 % CI) than the national average of human-driven vehicles (3.6 per MVMT, 3.0–4.3, 95 % CI)”
”While previous studies have found AV crashes to occur at lower rates than those of human-driven vehicles, this is the first study to investigate struck-from-behind crashes which represent 73 % of autonomous-mode crashes. While automated vehicles are struck from behind at higher rates than conventional vehicles, these differences are reduced when considering the operating environments of AVs.”",No,"Nataly Panczyk (2026-01-30 09:36:42)(Select): This is an older study, and really just an analysis of crash types and crash rates for AVs tested in California, which has significant reporting requirements. Still useful because it compared human driving scenarios to AI based decision making. Highlights that AI crashes are frequent and minor and that this is preferable to sparse but major. Also highlights the need for continuous reporting on AV accidents;","This paper reviews autonomous vehicle crash rate data in the state of California, where it was required to be reported since 2014. It notes that most crashes occur from behind and most of them occur at low speeds and result in minimal damage. They point out that a high crash rate does not necessarily mean that the vehicles are more dangerous, just that they are involved in more potentially minor crashes. They also analyzed the effect of urban environments on the crash data, and they suggest that more research is needed in order to fully understand autonomous vehicle crashes.",10.1016/j.aap.2021.106056,2021,United States
Automated vehicles - is a dilution of human responsibility the answer?,Guensberg 2022,Seconds or Less,General Public,95.24,Autonomous Vehicles,Ethics,AV Built-In,Human Evaluation,No,Non-Applicable,Autonomous,Non Applicable,Non Applicable,Is it possible that the human user can be absolved of blame?,Sparing lives,Yes,Non-Specific,"“in the aviation industry Boeing and Airbus diverge on the question who controls the aircraft. Boeing entrusts human beings with more responsibilities, while Airbus, places greater trust on the autopilot.13”",No,"Nataly Panczyk (2026-01-30 08:46:12)(Select): this is another pretty heavily legal one but would be a good comparison to the medical AI legal perspective; Leo Tunkle (2026-01-03 12:41:35)(Screen): I don't think this is a Yes, but it may be interesting reading;","The study describes the Society of Automotive Engineers' various levels of autonomous vehicle automation status. So some of the features are things like driving, like lane assist, and then it ranges all the way up to a fully autonomous vehicle. The study then describes how regulatory authorities would be able to hold individuals or the AV driving system entity liable based on whether or not the vehicle was completely in control or was requiring human intervention. They argue that human attention is either turned on or off. Note that it might be wrong to blame the manufacturer if continuous learning is permitted. Discusses strict liability and acceptance of risk by society. Focus on Nordic and European Union legal frameworks. ",10.1177/20322844221138049,2022,Finland
Artificial intelligence in health care: Accountability and safety,Habli 2020,N/A,N/A,90.48,Medical,Ethics,Non Applicable,Non Applicable,Yes,Non-Specific,Human in the Loop,Non Applicable,Non Applicable,"This study considered sepsis treatment as an example case, but otherwise did not present a technical study.",Sparing lives,Yes,Non-Applicable,"“We also need to move from a static to a dynamic model of assurance, accepting that considerations of safety are not fully resolvable during the design of the artificial intelligence system before the system has been deployed.”
”Many philosophers define two conditions for a person to be morally responsible for an action: the control condition (control over the decision or action, where loss of control is not due to recklessness) and the epistemic condition (sufficient understanding of the decision or action and its likely consequences, where ignorance is not due to negligence).5,6 These conditions can be traced back to the writings of the Greek philosopher Aristotle in the 4th century BCE.7 Failure to meet these conditions would excuse a person from moral responsibility.”
”Nonetheless, when artificial intelligence systems are involved in the decisionmaking process, it is uncertain how far it would be reasonable to hold human clinicians accountable for patient harm. First, clinicians do not exercise direct control over what decisions or recommendations a system reaches. Second, many artificial intelligence systems are inherently opaque,9 so a clinician’s understanding of precisely how the system translates input data into output decisions is difficult, if not impossible, to achieve.”",No,"Nataly Panczyk (2026-01-31 04:09:28)(Select): this article helps define what accountability and safety mean for medical AI using philosophical arguments to help define criteria for these terms
useful as a framework for developing safety protocols and guidelines, useful for developers, clinicians, and regulators;","This paper evaluates moral responsibility in the gray area between human executed decision making and fully autonomous decision making, where the decision-making load is shared by both a clinician and an AI.",10.2471/BLT.19.237487,2020,United Kingdom
"The role of artificial intelligence in nuclear crisis decision making: a complement, not a substitute",Holmes 2024,Minutes-Hours,Trained User,90.48,Nuclear,"Accidents, Ethics",Generative AI,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,No,Non Applicable,Crisis aversion.,Existential Threat to Humanity,No,Non-Applicable,"“by juxtaposing AI’s data-driven insights with human intelligence’s depth in emotional and creative processes, we illustrate the complementary roles each can play in fostering empathy, understanding, and, ultimately, security dilemma sensibility (SDS).”
”We think, however, that the most promising application of AI may be, perhaps counter-intuitively, in cultivating empathy.”
”The former, empathy, has a critical role to play in de-escalating conflicts between adversaries that are driven by mutual misperceptions of each other’s intentions (what Robert Jervis famously called the ‘spiral model’ of international conflict).”",No,"Nataly Panczyk (2026-01-31 04:14:51)(Select): super interesting
outlines how human thinking and AI “thinking” can complement instead of compete with one another
they specifically consider this in the case of political tensions/conflict, but the arugment can be extrapolated to other high stakes decision making scenarios pretty easily; Leo Tunkle (2026-01-07 08:43:20)(Screen): This probably just just pontificates in general, but maybe there'll be something in it;","This study talks about the security dilemma sensibility and the spiral model, which is a description of a scenario in international conflict where human decision makers can't fully understand or empathize the concerns of their adversary and therefore cannot enter the counter-fear of the enemy.",10.1080/10357718.2024.2333814,2024,United States
Fault identification and signal restoration of sensors based on artificial intelligence at nuclear power plants,Hong 2026,Minutes-Hours,Expert,76.19,Nuclear,"Accidents, Diagnostics","Autoencoders, Gradient Boosting, LSTM","Human Evaluation, Other Deep Learning",No,Non-Applicable,Human in the Loop,No,Synthetic,Binary signal fault detection.,Safe NPP Operation,Yes,NRC,"“Accordingly, five emergency scenarios implementable within the CNS were selected: Loss of Coolant Accident (LOCA), Excess Steam Demand Event (ESDE), Feedwater Line Break (FWLB), Main Steam Line Break (MSLB), and Steam Generator Tube Rupture (SGTR).”
”Signal faults can provide inaccurate information to operators, potentially leading to incorrect decision-making. Therefore, continuous monitoring of sensor signals and restoration of faulty signals are imperative for the safe operation of NPPs.”
",No,"Nataly Panczyk (2026-01-31 04:37:07)(Select):  including because it’s one of the few nuclear power safety case-ish ones that we have
really, this is a predictive maintenance paper disguised as an “emergency scenario saftey assurance” paper
they train a network on purely synthetic data to predict faulty sensors “during an emergency situation”
in reality, these sensors would be regularly calibrated and the AI note that the sensor is not accurate wouldn’t actually be helpful because you wouldn’t know if the AI is accurate
they don’t mention any explainability or UQ for this; Leo Tunkle (2026-01-07 08:50:25)(Screen): This appears to be ML vs blank;","The study specifies that the AI algorithm will be used to detect sensor signal faults during emergencies in nuclear power plants. So while this sort of falls into the predictive maintenance category, it is specifically intended for emergency scenarios, which is why we've included it in this study. The authors imply that sensors in nuclear power plants aren't calibrated as regularly as they are supposed to be. 
This study evaluates three faults: bias, drift, and stuck. These signals are manipulated artificially. Regulation was considered but only to identify the fact that they could not access real power plant data.",10.1016/j.net.2025.103876,2026,Korea
Distinctive physical insights driven from machine learning modelling of nuclear power plant severe accident scenario propagation,Hossny 2023,Minutes-Hours,Expert,90.48,Nuclear,Accidents,Decision Tree,Human Evaluation,Yes,Non-Specific,Human in the Loop,No,"Nuclear Accident, Synthetic",Classification of different accidents.,Safe NPP Operation,No,Non-Applicable,"“In this work, we demonstrate the capability of machine learning (Decision Tree) to help researchers and design engineers in finding distinctive physical insights between four different types of accident scenarios based on the pressure vessel’s maximum external surface temperature at a particular time”
”n this work, we presented the need for the inclusion of ML in accident scenario classification as it is urgent to know the accident deviation from the initiating event to be able to follow the proper protocols in accident scenario mitigation to avoid severe consequences such as what happened during the Fukushima-Daiichi accident in 2011.”",Yes,"Nataly Panczyk (2026-01-31 05:15:43)(Select): this is super “proof-of-concept” stuff
not anywhere close to being ready for actual decision-making and actually didn’t show great results
but, did consider actual accident data and used decision trees, which are interpretable, but didn’t seem to explain this advantage
including largely for nuclear power case demo; Leo Tunkle (2026-01-07 10:07:29)(Screen): Decision trees to hypothetically augment accident decision making;","The authors actually performed some explainability analysis for this work without explicitly calling it that. They do so by evaluating the threshold splits for the first four layers of the decision tree of the model that they chose to investigate, and then to identify critical indicators that they use to classify different accident scenarios. This study is a great example of what we'd like to see in the industry, but we simply can't because we don't have any more data than what is available in this study. This study uses Melcor data that's simulated from four well-known nuclear accidents. ",10.1038/s41598-023-28205-y,2023,Sweden
Effects of false alarms and miscues of decision support systems on human-machine system performance: a study with airport security screeners,Huegli 2025,Seconds or Less,Trained User,90.48,Aviation,Imaging,Explosives Detection System,Human Evaluation,No,Non-Applicable,Human in the Loop,Yes,Non-Clinical Imaging,"Whether or not the security screener detected a gun/knife and whether or not there was a false alarm. ",Aircraft Accident,No,Non-Applicable,"“Screeners missed more knives when the EDSCB provided miscues than when the EDSCB provided no miscues. • instead of on-screen alarm resolution of EDSCB alarms in primary screening, automated decision or clear instructions to screeners should be considered.”
”Results showed that the failure proneness of eDscB affected the detection performance of screeners, but only for items that are more challenging to identify: screeners’ detection performance for knives was worse when eDscB was miscue prone or made multiple failures than when eDscB was false alarm prone. Moreover, screeners could recognise many miscues and distinguish between correct and incorrect eDscB alarms.”",No,"Nataly Panczyk (2026-02-03 04:20:07)(Select): Human interaction study, but shows that too many miscues (false positives) can make humans complacent and ignorant of true positives. Airport security is a safety critical application on its own, but it’s also easy to see how this could be extended to other industries.;","This study evaluates the effects of false alarms when scanning cabin baggage using an extra machine at the airport. This study is mostly aiming to understand the human-machine interaction and human factors. This study also sought to evaluate if operators were able to recognize automation failures. This study basically showed that miscues degrade human performance, specifically regarding detection of knives in airport security, and highlights the need for accurate AI decision assistance systems.",10.1080/00140139.2025.2453546,2025,Switzerland
Accelerated testing and evaluation for black-box autonomous driving systems via adaptive markov chain monte carlo,Ji 2025,Seconds or Less,General Public,90.48,Autonomous Vehicles,Validation/Testing,"AV Built-In, MCMC",Non Applicable,No,Non-Applicable,Autonomous,No,Driving Scenes/Scenarios,If AV decision making in a specific scenario is safe.,Sparing lives,No,Non-Applicable,"“Proposing an accelerated testing and evaluation method for black-box decision-making algorithms. This method does not rely on model training, features straightforward scenario portability, and is suitable for autonomous driving evaluation tasks across various typical scenarios. • Verifying the safety performance of various DRL-based black-box algorithms across different degrees of scenario sparsity, achieving causal analysis, and feeding back into the training of decision-making algorithms. • Proposing to combine the SuS method with the ApMCMC method and demonstrating its superior efficiency in comparison to the classic Rare-Event Simulation Method and Monte Carlo (MC) Method.”",No,"Nataly Panczyk (2026-01-30 09:20:43)(Select): Uses MCMC to help increase the testing of rare events for autonomous driving systems
Demonstrates how testing protocols are critical for ensuring safe AI, especially in applications where we don’t have a lot of data or we don’t have a lot of accident data;","This paper seeks to evaluate BlackBox AV systems by using an adaptive Markov chain Monte Carlo algorithm. So the AI here is sort of MCMC but it's also an evaluation of whatever built-in autonomous vehicle AI is being used. The paper mentions that lack of interpretability is a problem, but doesn't do any evaluation on interpretability in the models they consider. The city also does a type of important sampling in which they increase the occurrence of failure samples to help improve the accuracy of their evaluation.",10.1109/TITS.2024.3525059,2025,China
"Artificial intelligence and clinical decision support: clinicians' perspectives on trust, trustworthiness, and liability",Jones 2023,N/A,N/A,95.24,Medical,"Ethics, Legal, Regulatory",Non-Specific,Human Evaluation,Yes,Non-Specific,Augmented Human Decision-Making,Non Applicable,Non Applicable,Both diagnosis and treatment.,Survival,Yes,NHS,"“The House of Lords Select Committee on AI identified a ‘need to build public trust and confidence’ in AI generally,12 but in the evidence sessions there was a lack of consensus on this issue.”
”In everyday speech, we might say flippantly that we do or do not ‘trust’ many things (medicines, vaccines, train timetables, etc), but fundamentally only beings with agency are truly capable of being trusted (or indeed distrusted).29”
”‘Trust’ can be disaggregated into three interrelated elements, reflecting two key philosophical ‘directions of fit’:  1) Trust in others’ truth claims (in the sense that they are likely to be correct), 2) Trust in others’ commitments to do what they say they will do (in the sense that we might trust our bank to send us a statement every month if they say that they will), 3) Trust in others’ competence to meet those commitments (in the sense that we trust our dentist’s competence to remove a tooth properly).”
”AI was compared with a clinical colleague, whereby the AI could not explain its reasoning for making a suggestion, whereas the colleague could explain their rationale and respond to alternative views from other clinicians.”
”imilarly, the question of competence (of reaching a normative standard, eg of a reasonably qualified peer) does not appear to be the primary concern of these clinicians in relation to AI/CDSS74; especially not in relation to matters of ‘fact’ (such as the size of a tumour), as opposed to judgments about what ought to be done about those facts (treatment options).”
”the use of CDSSs could, at worst, make no difference and, at best, operate as a shield from adverse judgment.”",Yes,"Nataly Panczyk (2026-02-03 07:03:39)(Select): paper considers the definition of trust and its subcomponents, which is directly applicable to the development of “trustworthy AI"";","This study brings into question whether or not AI is even capable of assuming the position of trust. 
This study describes a finding that AI researchers were more likely to be worried about the design of AI tools, including the algorithms themselves and issues with biases, reliability, transparency, privacy, security, and regulation, whereas medical professionals were more concerned about ethics and liability issues when they're using the AI of interest.
The paper argues that any person who professes expertise in any type of medical treatment is required to exercise reasonable skills and care judged by the standards of their own profession. This means that a professional that uses AI or chooses an inappropriate AI should be expected to be aware of the quality of that AI and its ability to perform well in the given application.
This article also discusses automation bias, which is the human tendency to follow a computer's advice, even when the computer is incorrect and the human would have made the correct decision in the absence of that computer's advice.
The authors also make a context argument in which they say that the use of AI in diagnosis is a binary decision. Either the AI gets the diagnosis correct or it doesn't and the clinician is liable for the faulty diagnosis if there is one. Alternatively, when using AI or CDSS in treatment, it's feasible that any variety of clinicians might reach different treatment conclusions based on the scenario so there's more gray area in this case.
Note that clinicians should report incidents when using AI in a database (kind of like aviation).",10.1093/medlaw/fwad013,2023,United Kingdom
Predicting trust dynamics with dynamic SEM in human-AI collaboration,Kaneko 2025,Seconds or Less,General Public,85.71,Autonomous Vehicles,Explanations,Dynamic Structural Equation Modeling,Human Evaluation,Yes,Rationale for Certain Models,Autonomous,No,Driving Scenes/Scenarios,Over or under trust,Sparing lives,No,Non-Applicable,"“However, explainability and interpretability were not confirmed in the experiments. Thus, we need to conduct experiments with participants to confirm them. This is also our future work.”
”For the estimation of the model, we used the experimental data from a cooperative decision-making task involving image recognition on a drone simulator by [3]. These data were acquired from crowd sourcing-based online experiments with 194 participants, in which humans and AI cooperatively recognize pothole on roads at 30 checkpoints.”",No,"Nataly Panczyk (2026-02-03 07:12:36)(Select): they basically develop a framework (which you might call AI) to predict whether or not a human would over-trust or under-trust a different AI. I’m not sure this is the right approach, but might be interesting to consider as a counter example?; Leo Tunkle (2026-01-07 10:37:47)(Screen): Kinda a weird one, but I'll include it since the concept of trust came up in a bunch of the papers I marked irrelevant and this one seems like it has promise in doing the topic more justice;","This study generates a prediction model for trust dynamics, which represents changes in the internal human state of trust. They use SEM modeling instead of a deep learning approach because it provides interpretable causal paths that reveal how the different trust states change over time and how they impact future trust. They claim that this makes their approach efficient and explainable for predicting whether or not a human has over or under trusted an AI. ",10.1109/ACCESS.2025.3629365,2025,Japan
Use of artificial intelligence for decision-support to avoid high-risk behaviors during laparoscopic cholecystectomy,Khalid 2023,Seconds or Less,Expert,90.48,Medical,Surgery,"CNN, UNets",Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,Yes,Clinical - Videos,go or no go zones during laparoscopic cholecystectomy,Surgical Success,No,Non-Applicable,"“Similar to most adverse events in the operating room, the root causes of BDIs are multifactorial, mostly due to lapses in judgment, visual perception, and situational awareness, leading to preventable behaviors that cause complications [6–8].”
",No,"Nataly Panczyk (2026-02-03 07:25:01)(Select): Evaluation of GoNoGoNet, which is an already commercially available tool to help surgeon decision support in live time. The tool is promising but the article recommends better integration into the surgery framework and process for optimal gains. ;","This was a retrospective analysis.
The methods section described in this work emphasizes the need for subject matter experts to design implementations of AI systems in their fields of expertise.",10.1007/s00464-023-10403-4,2023,"Canada, United States"
Multi-modal LSTM network for anomaly prediction in piston engine aircraft,Khattak 2024,Seconds or Less,Expert,85.71,Aviation,"Accidents, Diagnostics",LSTM,Other Deep Learning,No,Non-Applicable,Not System Integrated,No,"Flight Data Recorder, Mechanical Measurements, Mechanical Sensor",Engine Flame Out,Aircraft Accident,No,Non-Applicable,"The forecasting of these features is deemed crucial for the anticipation of anomalies such as engine flameout, providing pilots with the necessary time to manipulate air-fuel mixture, throttle, or primer settings.",No,"Nataly Panczyk (2026-02-03 07:35:28)(Select): the main goal of this research appears to be predictive maintenance, but they also claim that it can be useful in predicting engine flame out mid flight. Flame outs can be mitigated mid flight so this prediction only improves response time.; Leo Tunkle (2026-01-07 10:22:18)(Screen): ML v ML, but definitely safety critical;","This considers a multi-modal, regularized long short-term memory network.
This study is mostly a predictive maintenance study. However, they make an argument that if engine flame-out occurs, pilots should be notified in real time in case they don't detect it themselves from the other flight data that they're receiving in the cockpit so that they can do things like manipulating the air-fuel mixture, throttle, and primer just to eliminate the flame-out situation and return the plane back to its normal state of operation.",10.1016/j.heliyon.2024.e25120,2024,Pakistan
Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,Kieu 2024,Days or More,Expert,90.48,Medical,Pharmacology,Decision Tree,Human Evaluation,Yes,Rationale for Certain Models,Augmented Human Decision-Making,Yes,"Clinical - Dosimetric, Clinical - Physiological, Demographic, Medical Records",Prediction for clinical response and metabolic syndrome. These are both effects of Olanzapine,Medication Prescription,No,Non-Applicable,"“To sum up, the decision tree model developed using BMA (model 1A) with three important nodes: early response, response history, and olanzapine dose showed superior performance across all metrics, with high interpretability and was used to predict the effectiveness in real clinical scenarios.”",No,Nataly Panczyk (2026-02-03 07:56:18)(Select): highlights interpretability of a decision tree framework and implements it into a CDSS at a hospital in Vietnam to help determine which schizophrenic patients were at high risk for a certain drug;,Authors of this study noted that they only considered decision trees for their interpretability and would not consider other models that had a black box nature.,10.29090/psa.2024.04.24.AP0713,2024,"United States, Vietnam"
Potential uses of AI for perioperative nursing handoffs: a qualitative study,King 2023,Minutes-Hours,Trained User,80.95,Medical,"Implementation, Roadmap/Perspective",Non-Specific,Human Evaluation,Yes,Non-Specific,Human in the Loop,No,Interviews,The Role of Artificial Intelligence in Perioperative Handoffs,Sparing lives,No,Non-Applicable,"“Physicians and nurses rate explainability in terms of patient data and personal understanding as highly related to trust in AI;73,77 however, current methods of AI explainability have been found to have limited usefulness in practice.78”
”aken together, our findings and these prior studies suggest that AI can support nurses in their more general cognitive tasks, and that future AI design efforts should (1) target critical moments of evaluation like shift change and handoff and (2) incorporate estimates of acuity, condition severity, and influential data outside narrow “nursing related” problems”",No,"Nataly Panczyk (2026-02-03 07:58:00)(Select): interviews nurses to determine their comfort level and concerns with using AI for handoff of patients between shifts
first qualitative study? valuable because this could/should be repeated with nuclear operators, etc.;","This study was an important first qualitative paper to evaluate how nurses and other healthcare practitioners might react towards AI being implemented in more of an administrative sense, but also in a transfer of medical information sense.",10.1093/jamiaopen/ooad015,2023,United States
Are you AI’S favourite? EU legal implications of biased AI systems in clinical genetics and genomics,Kiseleva 2021,Days or More,Expert,100,Medical,"Legal, Regulatory",Non-Specific,Human Evaluation,No,Non-Applicable,Human in the Loop,Yes,Demographic,"genetic applications, sequencing, etc. ",Sparing lives,Yes,Non-Specific,"“Biased AI systems lead to biased decisions. These decisions might result in unwarranted forms of unfair differentiation and therefore potentially create harms such as discrimination or stigmatization (related to the societal perspective of bias). Such differentiation also raises the possibility of decision-making inaccuracy that might influence the safety and performance of the AI tool in question (linked to a statistical understanding of bias).”
”Biases in AI systems have different sources and lead to different consequences. Although in certain contexts the power of AI to find latent human bias can have positive effects, in others, the unfairness of AI decision-making processes may lead to negative outcomes.”
”The opacity and autonomy of AI make it challenging to discover and prove discrimination. While causation between the protected ground and discriminatory treatment is a necessary element for the engagement of anti-discrimination protection, tracing what exactly led AI to unfair outcomes is not always possible. In addition, a lack of transparency with AI can create situations when treating and/or treated subjects might be not aware that the AI’s decision is discriminatory. In such cases ‘discriminatory treatment’ might exist without being identified and/or not linked to a protected ground.”
”As mentioned above, the prohibition of discrimination (with a wider list of protected characteristics) shall be also included in the updated proposed AI Act (as it has been already  suggested in the EP Report of AI Framework). Considering the prevention of bias leading to inaccuracy, the measures included in the IVDR can be taken as the first reference for the EU legislators for the AI Act: randomization; demonstration that the performance study population represents the target population; carrying out performance studies similar to normal conditions of the device’s use. Other measures focusing on data management, data representativeness and quality shall be also taken into consideration. ‘Datasets and algorithms shall be checked for representativeness, accuracy, completeness and relevance to the purposes of AI systems.’135 The obligations of AI providers to demonstrate compliance with all these measures would be not only a good tool to prevent bias, but also help to solve the issues with difficulties in tracing and proving discrimination in AI systems.”",No,"Nataly Panczyk (2026-01-24 06:20:32)(Select): This is pretty ethics/legal heavy, but if we consider the way that they apply biases in genetic AI to biases in other kinds of AI (mechanical data, for example), this has some really useful insights about regulation;","Bias can lead to safety concerns. The authors allude to explainability and interpretability, but don't explicitly mention it. Refers to the EU proposal for the AI Act.",10.21552/eplr/2021/4/4,2021,Belgium
